Instance,start_temperature,min_temperature,temp_decrease_factor,TotalProfit,WaitingTime,TotalTasks,Iterations,RunTime,TimeLimit
7_2_1,100,1e-20,0.95,762,3530.0,272,121,900.9748,900
7_2_1,100,1e-20,0.99,761,3879.0,272,24,915.4448,900
7_2_1,100,1e-40,0.95,765,3675.0,272,75,903.1664,900
7_2_1,100,1e-40,0.99,762,3407.0,272,15,958.1306,900
7_2_1,1000,1e-20,0.95,775,2691.0,275,83,905.1381,900
7_2_1,1000,1e-20,0.99,770,2523.0,274,20,970.7341,900
7_2_1,1000,1e-40,0.95,771,2424.0,274,47,990.8018,900
7_2_1,1000,1e-40,0.99,764,3545.0,271,17,921.5614,900
7_2_1,10000,1e-20,0.95,770,3193.0,273,100,904.6764,900
7_2_1,10000,1e-20,0.99,758,4165.0,268,9,917.4281,900
7_2_1,10000,1e-40,0.95,772,2764.0,274,58,908.4753,900
7_2_1,10000,1e-40,0.99,757,4660.0,268,7,968.6813,900
7_5_1,100,1e-20,0.95,1665,8698.0,643,182,908.6037,900
7_5_1,100,1e-20,0.99,1667,9279.0,644,40,942.2461,900
7_5_1,100,1e-40,0.95,1666,7968.0,644,91,900.8384,900
7_5_1,100,1e-40,0.99,1668,9314.0,644,24,975.8861,900
7_5_1,1000,1e-20,0.95,1666,7235.0,640,74,922.2585,900
7_5_1,1000,1e-20,0.99,1671,6925.0,644,19,918.9777,900
7_5_1,1000,1e-40,0.95,1669,6757.0,645,56,904.3732,900
7_5_1,1000,1e-40,0.99,1664,8605.0,642,13,1004.7641,900
7_5_1,10000,1e-20,0.95,1664,7216.0,639,53,904.3533,900
7_5_1,10000,1e-20,0.99,1656,9145.0,635,12,951.4776,900
7_5_1,10000,1e-40,0.95,1666,8781.0,639,49,904.851,900
7_5_1,10000,1e-40,0.99,1661,9847.0,639,10,945.0685,900
7_8_1,100,1e-20,0.95,2174,12297.0,947,378,900.6088,900
7_8_1,100,1e-20,0.99,2172,14955.0,942,71,915.8716,900
7_8_1,100,1e-40,0.95,2168,14128.0,940,174,903.9432,900
7_8_1,100,1e-40,0.99,2167,16846.0,939,46,904.1988,900
7_8_1,1000,1e-20,0.95,2171,12042.0,942,249,900.8968,900
7_8_1,1000,1e-20,0.99,2163,14565.0,934,36,900.8466,900
7_8_1,1000,1e-40,0.95,2178,10631.0,945,126,904.5317,900
7_8_1,1000,1e-40,0.99,2169,15563.0,939,25,919.29,900
7_8_1,10000,1e-20,0.95,2170,11218.0,936,216,903.6995,900
7_8_1,10000,1e-20,0.99,2156,15312.0,925,13,966.6842,900
7_8_1,10000,1e-40,0.95,2169,12282.0,939,102,1034.6423,900
7_8_1,10000,1e-40,0.99,2161,16062.0,929,12,910.7177,900
