Instance,MainTasks,sublists_to_modify,consecutive_to_remove,threshold,TotalProfit,WaitingTime,TotalTasks,Iterations,RunTime,TimeLimit
7_2_1,True,2,3,3,778,4621.0,276,328,363.8802,360
7_2_1,True,2,3,6,779,4116.0,277,381,363.6105,360
7_2_1,True,2,3,9,775,5080.0,275,292,363.7736,360
7_2_1,True,2,6,3,778,4733.0,276,196,363.8292,360
7_2_1,True,2,6,6,778,5341.0,277,204,364.4065,360
7_2_1,True,2,6,9,773,5267.0,274,195,367.0594,360
7_2_1,True,2,9,3,774,5614.0,275,160,364.9753,360
7_2_1,True,2,9,6,778,4187.0,277,180,363.4838,360
7_2_1,True,2,9,9,778,3670.0,277,177,365.4541,360
7_2_1,True,5,3,3,775,4162.0,277,122,363.862,360
7_2_1,True,5,3,6,771,5113.0,274,122,364.6989,360
7_2_1,True,5,3,9,777,5004.0,276,112,366.1188,360
7_2_1,True,5,6,3,772,5106.0,274,77,368.0714,360
7_2_1,True,5,6,6,770,5296.0,275,71,365.2451,360
7_2_1,True,5,6,9,771,5524.0,274,73,375.7935,360
7_2_1,True,5,9,3,764,5252.0,272,54,367.3044,360
7_2_1,True,5,9,6,770,5130.0,274,61,365.3856,360
7_2_1,True,5,9,9,764,4548.0,274,53,381.7291,360
7_2_1,True,8,3,3,773,3752.0,276,68,364.0599,360
7_2_1,True,8,3,6,772,4976.0,273,65,363.5516,360
7_2_1,True,8,3,9,771,5565.0,274,65,365.981,360
7_2_1,True,8,6,3,765,5579.0,272,36,383.8507,360
7_2_1,True,8,6,6,766,5729.0,273,35,369.0929,360
7_2_1,True,8,6,9,768,5213.0,274,38,371.9898,360
7_2_1,True,8,9,3,762,4836.0,271,31,367.8893,360
7_2_1,True,8,9,6,765,5026.0,273,27,367.5761,360
7_2_1,True,8,9,9,760,4938.0,271,25,373.1801,360
7_5_1,True,2,3,3,1650,12761.0,638,229,376.0245,360
7_5_1,True,2,3,6,1648,12724.0,636,241,375.2771,360
7_5_1,True,2,3,9,1655,9728.0,640,246,375.9146,360
7_5_1,True,2,6,3,1643,12768.0,629,145,375.5077,360
7_5_1,True,2,6,6,1633,14055.0,622,145,375.4377,360
7_5_1,True,2,6,9,1635,12097.0,622,153,375.379,360
7_5_1,True,2,9,3,1641,12637.0,630,98,382.7326,360
7_5_1,True,2,9,6,1637,14187.0,628,89,375.8748,360
7_5_1,True,2,9,9,1634,14565.0,631,102,375.9011,360
7_5_1,True,5,3,3,1643,12217.0,634,102,375.0676,360
7_5_1,True,5,3,6,1637,12603.0,631,68,377.8589,360
7_5_1,True,5,3,9,1638,10219.0,629,83,375.6528,360
7_5_1,True,5,6,3,1621,15837.0,622,43,394.7944,360
7_5_1,True,5,6,6,1621,15513.0,624,42,375.4551,360
7_5_1,True,5,6,9,1623,15602.0,622,40,380.4469,360
7_5_1,True,5,9,3,1620,13611.0,619,34,377.9565,360
7_5_1,True,5,9,6,1615,14674.0,615,27,376.8263,360
7_5_1,True,5,9,9,1616,17160.0,620,35,383.1887,360
7_5_1,True,8,3,3,1638,11064.0,628,51,379.333,360
7_5_1,True,8,3,6,1625,14729.0,621,41,377.0046,360
7_5_1,True,8,3,9,1622,13076.0,625,36,375.6465,360
7_5_1,True,8,6,3,1616,15040.0,621,31,381.7116,360
7_5_1,True,8,6,6,1614,16053.0,620,24,381.2576,360
7_5_1,True,8,6,9,1614,16053.0,620,24,398.2971,360
7_5_1,True,8,9,3,1613,17645.0,620,18,400.4537,360
7_5_1,True,8,9,6,1613,17645.0,620,18,383.56,360
7_5_1,True,8,9,9,1613,17645.0,620,17,377.9338,360
7_8_1,True,2,3,3,2149,22969.0,920,208,382.9596,360
7_8_1,True,2,3,6,2148,22968.0,919,227,385.1114,360
7_8_1,True,2,3,9,2153,19297.0,923,240,383.3036,360
7_8_1,True,2,6,3,2146,21873.0,915,167,383.6048,360
7_8_1,True,2,6,6,2147,19232.0,917,126,382.9641,360
7_8_1,True,2,6,9,2141,22282.0,914,142,389.5329,360
7_8_1,True,2,9,3,2135,23878.0,909,88,386.3265,360
7_8_1,True,2,9,6,2133,19846.0,908,86,383.9817,360
7_8_1,True,2,9,9,2139,21590.0,916,84,383.0062,360
7_8_1,True,5,3,3,2143,23795.0,917,97,385.2385,360
7_8_1,True,5,3,6,2137,23607.0,915,72,385.8979,360
7_8_1,True,5,3,9,2137,25400.0,914,81,388.3979,360
7_8_1,True,5,6,3,2132,23302.0,912,54,384.3925,360
7_8_1,True,5,6,6,2133,26312.0,909,49,389.6746,360
7_8_1,True,5,6,9,2131,25835.0,907,47,383.503,360
7_8_1,True,5,9,3,2126,24638.0,896,33,390.4548,360
7_8_1,True,5,9,6,2127,24626.0,899,31,389.2151,360
7_8_1,True,5,9,9,2122,26811.0,898,27,389.1785,360
7_8_1,True,8,3,3,2134,21633.0,919,64,386.0781,360
7_8_1,True,8,3,6,2124,24097.0,913,41,395.1842,360
7_8_1,True,8,3,9,2129,26726.0,915,57,391.5301,360
7_8_1,True,8,6,3,2126,27263.0,905,31,391.2071,360
7_8_1,True,8,6,6,2122,28459.0,898,18,411.5351,360
7_8_1,True,8,6,9,2122,26115.0,900,29,391.7494,360
