Instance,MainTasks,sublists_to_modify,consecutive_to_remove,start_temperature,temp_decrease_factor,maxInnerLoop,maxIterationsWithoutImprovement,TotalProfit,WaitingTime,TotalTasks,Iterations,RunTime,TimeLimit
7_2_1,True,2,3,100,0.9,10,2.0,784,4079.0,277,47,368.4657,360
7_2_1,True,2,3,100,0.9,50,10.0,780,3324.0,277,9,389.2459,360
7_2_1,True,2,3,100,0.95,10,2.0,782,4225.0,277,50,363.8449,360
7_2_1,True,2,3,100,0.95,50,10.0,780,3524.0,279,9,402.2001,360
7_2_1,True,2,3,100,0.99,10,2.0,783,4155.0,278,44,368.0528,360
7_2_1,True,2,3,100,0.99,50,10.0,780,3524.0,279,9,405.0505,360
7_2_1,True,2,3,1000,0.9,10,2.0,783,4157.0,278,44,367.8611,360
7_2_1,True,2,3,1000,0.9,50,10.0,781,3439.0,279,9,406.0425,360
7_2_1,True,2,3,1000,0.95,10,2.0,783,4151.0,278,43,365.7605,360
7_2_1,True,2,3,1000,0.95,50,10.0,781,3439.0,279,9,409.0871,360
7_2_1,True,2,3,1000,0.99,10,2.0,783,4151.0,278,43,365.9565,360
7_2_1,True,2,3,1000,0.99,50,10.0,781,3439.0,279,9,408.7532,360
7_2_1,True,2,9,100,0.9,10,2.0,782,4030.0,278,25,371.9815,360
7_2_1,True,2,9,100,0.9,50,10.0,776,4666.0,275,5,450.4501,360
7_2_1,True,2,9,100,0.95,10,2.0,781,4159.0,278,24,365.2043,360
7_2_1,True,2,9,100,0.95,50,10.0,776,4666.0,275,5,445.7219,360
7_2_1,True,2,9,100,0.99,10,2.0,778,4720.0,277,23,364.8206,360
7_2_1,True,2,9,100,0.99,50,10.0,776,4666.0,275,5,443.9087,360
7_2_1,True,2,9,1000,0.9,10,2.0,778,4507.0,277,24,363.4929,360
7_2_1,True,2,9,1000,0.9,50,10.0,777,4251.0,276,5,407.4273,360
7_2_1,True,2,9,1000,0.95,10,2.0,778,4507.0,277,24,363.1298,360
7_2_1,True,2,9,1000,0.95,50,10.0,777,4251.0,276,5,408.6477,360
7_2_1,True,2,9,1000,0.99,10,2.0,778,4507.0,277,24,365.6891,360
7_2_1,True,2,9,1000,0.99,50,10.0,777,4251.0,276,5,408.2703,360
7_2_1,True,8,3,100,0.9,10,2.0,774,3722.0,276,9,384.08,360
7_2_1,True,8,3,100,0.9,50,10.0,773,4293.0,276,3,599.3192,360
7_2_1,True,8,3,100,0.95,10,2.0,774,3722.0,276,9,388.152,360
7_2_1,True,8,3,100,0.95,50,10.0,773,4293.0,276,3,602.4505,360
7_2_1,True,8,3,100,0.99,10,2.0,774,3722.0,276,9,391.4434,360
7_2_1,True,8,3,100,0.99,50,10.0,773,4293.0,276,3,608.0111,360
7_2_1,True,8,3,1000,0.9,10,2.0,774,3722.0,276,9,389.633,360
7_2_1,True,8,3,1000,0.9,50,10.0,772,4559.0,276,3,591.3761,360
7_2_1,True,8,3,1000,0.95,10,2.0,774,3722.0,276,9,388.9902,360
7_2_1,True,8,3,1000,0.95,50,10.0,772,4559.0,276,3,591.2116,360
7_2_1,True,8,3,1000,0.99,10,2.0,774,3722.0,276,9,387.3989,360
7_2_1,True,8,3,1000,0.99,50,10.0,772,4559.0,276,3,596.0932,360
7_2_1,True,8,9,100,0.9,10,2.0,759,5216.0,271,5,461.1294,360
7_2_1,True,8,9,100,0.9,50,10.0,758,6093.0,270,2,676.4992,360
7_2_1,True,8,9,100,0.95,10,2.0,759,5216.0,271,5,451.0981,360
7_2_1,True,8,9,100,0.95,50,10.0,758,6093.0,270,2,670.1941,360
7_2_1,True,8,9,100,0.99,10,2.0,759,5216.0,271,5,451.7262,360
7_2_1,True,8,9,100,0.99,50,10.0,758,6093.0,270,2,664.4515,360
7_2_1,True,8,9,1000,0.9,10,2.0,759,5216.0,271,5,447.7002,360
7_2_1,True,8,9,1000,0.9,50,10.0,758,6093.0,270,2,665.735,360
7_2_1,True,8,9,1000,0.95,10,2.0,759,5216.0,271,5,445.3054,360
7_2_1,True,8,9,1000,0.95,50,10.0,758,6093.0,270,2,667.1513,360
7_2_1,True,8,9,1000,0.99,10,2.0,759,5216.0,271,5,447.6504,360
7_2_1,True,8,9,1000,0.99,50,10.0,758,6093.0,270,2,662.9994,360
7_5_1,True,2,3,100,0.9,10,2.0,1655,10715.0,637,29,376.6306,360
7_5_1,True,2,3,100,0.9,50,10.0,1655,11301.0,635,6,419.2351,360
7_5_1,True,2,3,100,0.95,10,2.0,1658,9554.0,637,30,375.53,360
7_5_1,True,2,3,100,0.95,50,10.0,1655,11301.0,635,6,417.9094,360
7_5_1,True,2,3,100,0.99,10,2.0,1658,9554.0,637,30,376.4257,360
