Instance,start_temperature,min_temperature,temp_decrease_factor,TotalProfit,WaitingTime,TotalTasks,Iterations,RunTime,TimeLimit,MaxRandomMoves
7_2_1,100,1e-10,0.9,765,3611.0,272,823,901.3014,900,100
7_2_1,100,1e-10,0.9,765,3709.0,271,297,903.5013,900,1000
7_2_1,100,1e-10,0.95,770,2981.0,273,393,900.5934,900,100
7_2_1,100,1e-10,0.95,765,3093.0,273,143,904.8354,900,1000
7_2_1,100,1e-10,0.99,765,4498.0,272,85,900.5501,900,100
7_2_1,100,1e-10,0.99,764,3558.0,272,23,910.6803,900,1000
7_2_1,100,1e-20,0.9,763,3480.0,271,420,900.5889,900,100
7_2_1,100,1e-20,0.9,765,2967.0,274,174,911.0527,900,1000
7_2_1,100,1e-20,0.95,762,4172.0,271,237,901.7358,900,100
7_2_1,100,1e-20,0.95,762,3875.0,272,59,940.2434,900,1000
7_2_1,100,1e-20,0.99,764,3784.0,272,40,919.7171,900,100
7_2_1,100,1e-20,0.99,763,3078.0,272,15,1016.4686,900,1000
7_2_1,100,1e-40,0.9,765,3619.0,272,223,905.3992,900,100
7_2_1,100,1e-40,0.9,761,3945.0,272,107,910.2606,900,1000
7_2_1,100,1e-40,0.95,762,3707.0,272,129,904.4586,900,100
7_2_1,100,1e-40,0.95,762,3661.0,271,70,918.9823,900,1000
7_2_1,100,1e-40,0.99,764,3600.0,274,29,906.613,900,100
7_2_1,100,1e-40,0.99,761,3954.0,271,13,996.3627,900,1000
7_2_1,1000,1e-10,0.9,770,2604.0,272,729,900.3773,900,100
7_2_1,1000,1e-10,0.9,770,2171.0,273,309,902.4266,900,1000
7_2_1,1000,1e-10,0.95,776,2148.0,275,358,900.8405,900,100
7_2_1,1000,1e-10,0.95,767,2545.0,272,96,902.4708,900,1000
7_2_1,1000,1e-10,0.99,770,3033.0,272,67,911.3715,900,100
7_2_1,1000,1e-10,0.99,770,3338.0,273,28,944.5127,900,1000
7_2_1,1000,1e-20,0.9,775,2356.0,274,389,901.0692,900,100
7_2_1,1000,1e-20,0.9,768,2855.0,272,149,901.2192,900,1000
7_2_1,1000,1e-20,0.95,771,2474.0,273,206,904.404,900,100
7_2_1,1000,1e-20,0.95,763,3443.0,270,86,910.2435,900,1000
7_2_1,1000,1e-20,0.99,769,2640.0,272,42,921.8189,900,100
7_2_1,1000,1e-20,0.99,764,2717.0,272,19,949.29,900,1000
7_2_1,1000,1e-40,0.9,769,1991.0,274,161,903.042,900,100
7_2_1,1000,1e-40,0.9,761,2991.0,271,65,901.7696,900,1000
7_2_1,1000,1e-40,0.95,770,1845.0,273,93,901.0985,900,100
7_2_1,1000,1e-40,0.95,765,3494.0,272,34,919.1408,900,1000
7_2_1,1000,1e-40,0.99,767,2760.0,273,26,939.8362,900,100
7_2_1,1000,1e-40,0.99,761,3200.0,270,10,1036.3923,900,1000
7_2_1,10000,1e-10,0.9,766,2648.0,271,680,900.6923,900,100
7_2_1,10000,1e-10,0.9,770,2276.0,272,280,901.4792,900,1000
7_2_1,10000,1e-10,0.95,773,3150.0,273,286,902.8108,900,100
7_2_1,10000,1e-10,0.95,764,2879.0,270,108,903.641,900,1000
